コード,銘柄名,順位
7512.T,イオン北海道,301
2593.T,伊藤園,302
7525.T,リックス,303
1770.T,藤田エンジニアリング,304
3431.T,宮地エンジニアリンググループ,305
4611.T,大日本塗料,306
2933.T,紀文食品,307
3201.T,日本毛織,308
8084.T,ＲＹＯＤＥＮ,309
6539.T,ＭＳ－Ｊａｐａｎ,310
2820.T,やまみ,311
5589.T,オートサーバー,312
9310.T,日本トランスシティ,313
2734.T,サーラコーポレーション,314
2209.T,井村屋グループ,315
3636.T,三菱総合研究所,316
3835.T,ｅＢＡＳＥ,317
7628.T,オーハシテクニカ,318
3388.T,明治電機工業,319
3773.T,アドバンスト・メディア,320
5464.T,モリ工業,321
9340.T,アソインターナショナル,322
2666.T,オートウェーブ,323
2112.T,塩水港精糖,324
9729.T,トーカイ,325
7990.T,グローブライド,326
1822.T,大豊建設,327
8117.T,中央自動車工業,328
4202.T,ダイセル,329
6586.T,マキタ,330
9063.T,岡山県貨物運送,331
8079.T,正栄食品工業,332
8051.T,山善,333
9039.T,サカイ引越センター,334
1379.T,ホクト,335
3958.T,笹徳印刷,336
9699.T,ニシオホールディングス,337
9009.T,京成電鉄,338
8214.T,ＡＯＫＩホールディングス,339
7081.T,コーユーレンティア,340
3020.T,アプライド,341
7467.T,萩原電気ホールディングス,342
5108.T,ブリヂストン,343
8917.T,ファースト住建,344
8260.T,井筒屋,345
8904.T,ＡＶＡＮＴＩＡ,346
8570.T,イオンフィナンシャルサービス,347
8860.T,フジ住宅,348
1401.T,エムビーエス,349
3418.T,バルニバービ,350
7769.T,リズム,351
9827.T,リリカラ,352
9247.T,ＴＲＥホールディングス,353
5204.T,石塚硝子,354
4041.T,日本曹達,355
3053.T,ペッパーフードサービス,356
2792.T,ハニーズホールディングス,357
6089.T,ウィルグループ,358
9020.T,東日本旅客鉄道,359
7036.T,イーエムネットジャパン,360
244A.T,グロースエクスパートナーズ,361
8595.T,ジャフコ　グループ,362
4569.T,杏林製薬,363
151A.T,ダイブ,364
7212.T,エフテック,365
7692.T,アースインフィニティ,366
2668.T,タビオ,367
4388.T,エーアイ,368
7291.T,日本プラスト,369
3289.T,東急不動産ホールディングス,370
3422.T,Ｊ－ＭＡＸ,371
9006.T,京浜急行電鉄,372
9997.T,ベルーナ,373
9691.T,両毛システムズ,374
6436.T,アマノ,375
7975.T,リヒトラブ,376
8078.T,阪和興業,377
4840.T,トライアイズ,378
2897.T,日清食品ホールディングス,379
6763.T,帝国通信工業,380
6923.T,スタンレー電気,381
8848.T,レオパレス２１,382
8836.T,ＲＩＳＥ,383
7575.T,日本ライフライン,384
250A.T,シマダヤ,385
2415.T,ヒューマンホールディングス,386
3182.T,オイシックス・ラ・大地,387
3004.T,神栄,388
7447.T,ナガイレーベン,389
6750.T,エレコム,390
3193.T,エターナルホスピタリティグループ,391
6820.T,アイコム,392
7122.T,近畿車輛,393
1898.T,世紀東急工業,394
8075.T,神鋼商事,395
9324.T,安田倉庫,396
7366.T,ＬＩＴＡＬＩＣＯ,397
2266.T,六甲バター,398
7235.T,東京ラヂエーター製造,399
4249.T,森六,400
3475.T,グッドコムアセット,401
2378.T,ルネサンス,402
9416.T,ビジョン,403
7240.T,ＮＯＫ,404
3176.T,三洋貿易,405
7827.T,オービス,406
7264.T,ムロコーポレーション,407
5408.T,中山製鋼所,408
9644.T,タナベコンサルティンググループ,409
7282.T,豊田合成,410
1820.T,西松建設,411
6317.T,北川鉄工所,412
9082.T,大和自動車交通,413
2903.T,シノブフーズ,414
9236.T,ジャパンＭ＆Ａソリューション,415
9511.T,沖縄電力,416
6118.T,アイダエンジニアリング,417
1333.T,マルハニチロ,418
8158.T,ソーダニッカ,419
8591.T,オリックス,420
9726.T,ＫＮＴ－ＣＴホールディングス,421
9005.T,東急,422
5929.T,三和ホールディングス,423
7599.T,ＩＤＯＭ,424
1719.T,安藤・間,425
4376.T,くふうカンパニーホールディングス,426
6947.T,図研,427
6797.T,名古屋電機工業,428
6096.T,レアジョブ,429
3843.T,フリービット,430
6882.T,三社電機製作所,431
3633.T,ＧＭＯペパボ,432
3063.T,ジェイグループホールディングス,433
1808.T,長谷工コーポレーション,434
6557.T,ＡＩＡＩグループ,435
4045.T,東亞合成,436
4725.T,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,437
2669.T,カネ美食品,438
4406.T,新日本理化,439
7475.T,アルビス,440
8060.T,キヤノンマーケティングジャパン,441
3371.T,ソフトクリエイトホールディングス,442
4471.T,三洋化成工業,443
1376.T,カネコ種苗,444
6730.T,アクセル,445
6293.T,日精樹脂工業,446
2215.T,第一屋製パン,447
6287.T,サトー,448
8804.T,東京建物,449
9932.T,杉本商事,450
5991.T,日本発條,451
3911.T,Ａｉｍｉｎｇ,452
3772.T,ウェルス・マネジメント,453
3945.T,スーパーバッグ,454
3608.T,ＴＳＩホールディングス,455
3437.T,特殊電極,456
6340.T,澁谷工業,457
8706.T,極東証券,458
9045.T,京阪ホールディングス,459
7214.T,ＧＭＢ,460
3580.T,小松マテーレ,461
4714.T,リソー教育グループ,462
6333.T,帝国電機製作所,463
6908.T,イリソ電子工業,464
6047.T,Ｇｕｎｏｓｙ,465
6082.T,ライドオンエクスプレスホールディングス,466
7276.T,小糸製作所,467
2932.T,ＳＴＩフードホールディングス,468
7199.T,プレミアグループ,469
2307.T,クロスキャット,470
287A.T,黒田グループ,471
2428.T,ウェルネット,472
9376.T,ユーラシア旅行社,473
4763.T,クリーク・アンド・リバー社,474
4178.T,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,475
7811.T,中本パックス,476
9831.T,ヤマダホールディングス,477
6823.T,リオン,478
8029.T,ルックホールディングス,479
5992.T,中央発條,480
9936.T,王将フードサービス,481
3998.T,すららネット,482
6178.T,日本郵政,483
9347.T,日本管財ホールディングス,484
7226.T,極東開発工業,485
3484.T,イノベーションホールディングス,486
6412.T,平和,487
9706.T,日本空港ビルデング,488
6899.T,ＡＳＴＩ,489
3861.T,王子ホールディングス,490
9763.T,丸建リース,491
5930.T,文化シヤッター,492
2674.T,ハードオフコーポレーション,493
9248.T,人・夢・技術グループ,494
6915.T,千代田インテグレ,495
2681.T,ゲオホールディングス,496
2730.T,エディオン,497
8023.T,ＤＡＩＫＯ　ＸＴＥＣＨ,498
4494.T,バリオセキュア,499
7211.T,三菱自動車工業,500
8130.T,サンゲツ,501
2479.T,ジェイテック,502
1833.T,奥村組,503
5941.T,中西製作所,504
3123.T,サイボー,505
9381.T,エーアイテイー,506
428A.T,サイプレス・ホールディングス,507
2353.T,日本駐車場開発,508
8151.T,東陽テクニカ,509
4042.T,東ソー,510
6561.T,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,511
5357.T,ヨータイ,512
8254.T,さいか屋,513
9672.T,東京都競馬,514
6486.T,イーグル工業,515
7912.T,大日本印刷,516
9025.T,鴻池運輸,517
9743.T,丹青社,518
7821.T,前田工繊,519
3317.T,フライングガーデン,520
4985.T,アース製薬,521
7246.T,プレス工業,522
9076.T,セイノーホールディングス,523
9223.T,ＡＳＮＯＶＡ,524
4224.T,ロンシール工業,525
4014.T,カラダノート,526
3768.T,リスクモンスター,527
2871.T,ニチレイ,528
9081.T,神奈川中央交通,529
3447.T,信和,530
5938.T,ＬＩＸＩＬ,531
6151.T,日東工器,532
4242.T,タカギセイコー,533
6547.T,グリーンズ,534
5959.T,岡部,535
7780.T,メニコン,536
8841.T,テーオーシー,537
8074.T,ユアサ商事,538
4290.T,プレステージ・インターナショナル,539
4633.T,サカタインクス,540
8887.T,シーラホールディングス,541
9069.T,センコーグループホールディングス,542
2915.T,ケンコーマヨネーズ,543
9204.T,スカイマーク,544
3177.T,ありがとうサービス,545
9619.T,イチネンホールディングス,546
3222.T,ユナイテッド・スーパーマーケット・ホールディングス,547
8795.T,Ｔ＆Ｄホールディングス,548
5852.T,アーレスティ,549
256A.T,飛島ホールディングス,550
6817.T,スミダコーポレーション,551
291A.T,リスキル,552
3933.T,チエル,553
7294.T,ヨロズ,554
9744.T,メイテックグループホールディングス,555
5406.T,神戸製鋼所,556
9305.T,ヤマタネ,557
7203.T,トヨタ自動車,558
6405.T,鈴茂器工,559
4272.T,日本化薬,560
4792.T,山田コンサルティンググループ,561
6418.T,日本金銭機械,562
1994.T,高橋カーテンウォール工業,563
6262.T,ＰＥＧＡＳＵＳ,564
4205.T,日本ゼオン,565
7148.T,ＦＰＧ,566
9414.T,日本ＢＳ放送,567
8065.T,佐藤商事,568
6463.T,ＴＰＲ,569
7561.T,ハークスレイ,570
9368.T,キムラユニティー,571
7844.T,マーベラス,572
8935.T,ＦＪネクストホールディングス,573
6625.T,ＪＡＬＣＯホールディングス,574
2060.T,フィード・ワン,575
7265.T,エイケン工業,576
3435.T,サンコーテクノ,577
7624.T,ＮａＩＴＯ,578
3954.T,昭和パックス,579
2433.T,博報堂ＤＹホールディングス,580
2384.T,ＳＢＳホールディングス,581
8789.T,フィンテック　グローバル,582
9828.T,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,583
7421.T,カッパ・クリエイト,584
2385.T,総医研ホールディングス,585
9127.T,玉井商船,586
7476.T,アズワン,587
8699.T,ＨＳホールディングス,588
9279.T,ギフトホールディングス,589
7241.T,フタバ産業,590
3099.T,三越伊勢丹ホールディングス,591
3558.T,ジェイドグループ,592
3922.T,ＰＲ　ＴＩＭＥＳ,593
3402.T,東レ,594
7059.T,コプロ・ホールディングス,595
7133.T,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,596
8203.T,ＭｒＭａｘＨＤ,597
9755.T,応用地質,598
7085.T,カーブスホールディングス,599
3901.T,マークラインズ,600
7571.T,ヤマノホールディングス,601
4284.T,ソルクシーズ,602
7522.T,ワタミ,603
4635.T,東京インキ,604
9682.T,ＤＴＳ,605
4331.T,テイクアンドギヴ・ニーズ,606
1925.T,大和ハウス工業,607
3569.T,セーレン,608
9948.T,アークス,609
1826.T,佐田建設,610
3985.T,テモナ,611
5232.T,住友大阪セメント,612
7102.T,日本車輌製造,613
3962.T,チェンジホールディングス,614
7222.T,日産車体,615
4709.T,ＩＤホールディングス,616
4595.T,ミズホメディー,617
8037.T,カメイ,618
3648.T,ＡＧＳ,619
6548.T,旅工房,620
9532.T,大阪瓦斯,621
1786.T,オリエンタル白石,622
9446.T,サカイホールディングス,623
3028.T,アルペン,624
7266.T,今仙電機製作所,625
6058.T,ベクトル,626
4673.T,川崎地質,627
