Date,Open,High,Low,Close,Volume,Ticker,Name,Industry,MarketCategory,SharesOutstanding,MarketCap,AvgTradingValue20,VolRatio,OBVGrowth,HighRatio,StayRate,ATRRatio,Absorption,VolRatio_Z,OBVGrowth_Z,HighRatio_Z,StayRate_Z,Absorption_Z,ATR_Z,AccumulationScore,IndustryRankPct
2026-06-01,1619.0,1619.0,1581.0,1586.0,129300.0,2153.T,Ｅ・Ｊホールディングス,サービス業,TOPIX Small 2,17976172.0,28510208792.0,152980500.7421875,1.536821285358188,-2.054869684499314,0.8412105988617559,0.08333333333333333,0.7256749145810741,,0.6180242595170978,0.018825274406514072,0.32005196403534963,-1.7092353394820152,0.0,1.2799802752654923,0.030836489128945224,0.6153846153846154
2026-06-01,1919.0,1919.0,1855.0,1873.0,240200.0,7283.T,愛三工業,輸送用機器,TOPIX Small 1,57027699.0,106812880227.0,349919930.0,1.3735852157986193,-0.03242995397038795,0.8219980826825055,0.25,0.8983936678932468,,0.29792211887387726,0.027621823824100056,0.20093410032166667,-0.8968566487996898,0.0,0.8741111867214415,0.030749867754946272,0.5483870967741935
2026-06-01,3506.0,3534.0,3450.0,3519.0,282000.0,2607.T,不二製油,食料品,TOPIX Mid400,85982487.0,302572371753.0,1434672425.0,1.1392184133736944,-0.08758188480599605,0.8219447691028153,0.45,1.1666821361498423,,-0.1616657366432399,0.027381941924161397,0.2006035553966619,0.07799778001910071,0.0,0.24366432446685113,0.030432645625770416,0.5116279069767442
2026-06-01,24480.0,25870.0,24030.0,25380.0,150300.0,6777.T,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,電気機器,-,11760380.0,298478444400.0,7072000950.0,1.3395370112921887,0.033446422208796234,0.7314121037463976,0.5833333333333334,1.8839334193874402,,0.23115438073258804,0.027908351422309435,-0.3607002110100041,0.7279007325649611,0.0,-1.4417932127268136,0.029721090085127036,0.27586206896551724
2026-06-01,2696.0,2696.0,2651.0,2673.0,70100.0,8052.T,椿本興業,卸売業,TOPIX Small 2,18369199.0,49100868927.0,184942375.0,1.295133890008638,-0.3693647866726013,0.8713599178141456,0.25,1.100509448489487,,0.1440808913227105,0.026156334464080437,0.5069781548853419,-0.8968566487996898,0.0,0.399162484986087,0.02938456435311701,0.4811320754716981
2026-06-01,1305.0,1317.0,1281.0,1307.0,161900.0,7187.T,ジェイリース,その他金融業,TOPIX Small 2,17830576.0,23304562832.0,140448545.0,1.1241081081081081,-0.0014124969310873592,0.7591248242931817,0.5666666666666667,1.186907595451,,-0.19129669427617674,0.027756733453067194,-0.18888096368037022,0.6466628634967284,0.0,0.19613683498162487,0.028145088331739072,0.3888888888888889
2026-06-01,962.0,967.0,952.0,955.0,3309900.0,8524.T,北洋銀行,銀行業,TOPIX Small 1,374117080.0,357281811400.0,2416559660.0,0.9803239840983479,-0.1002834302467247,0.8774362230907079,0.4166666666666667,0.9053886403825963,,-0.47325402153979784,0.027326696880038442,0.5446513309057733,-0.08447795811736433,0.0,0.8576738106160705,0.02766043182941371,0.13953488372093023
2026-06-01,1425.0,1447.0,1411.0,1433.0,70200.0,3843.T,フリービット,情報・通信業,TOPIX Small 2,21822315.0,31271377395.0,126746530.0,1.231347375154201,-0.08984051978735974,0.8356761018233538,0.3333333333333333,0.9941088989911178,,0.01899701737152612,0.027372118049595474,0.28573800651966735,-0.4906673034585272,0.0,0.6491914668849842,0.02759936298468401,0.6193181818181818
2026-06-01,1696.0,1720.0,1682.0,1701.0,224000.0,6750.T,エレコム,電気機器,TOPIX Small 1,80538615.0,136996184115.0,302098030.0,1.060808262496736,0.06286365616551981,0.8547763809951447,0.43333333333333335,1.1137295365602147,,-0.3154262211464088,0.028036300922273688,0.40415999924833984,-0.0032400890491318048,0.0,0.3680968074447465,0.026903346808501753,0.2672413793103448
2026-06-01,746.0,746.0,724.0,729.0,189100.0,4318.T,クイック,サービス業,TOPIX Small 2,56122264.0,40913130456.0,162168760.0,1.4253016186034144,-0.09917668556240788,0.7773483714713333,0.31666666666666665,1.090354912743706,,0.3993367834688297,0.027331510637482626,-0.07589472133219961,-0.5719051725267598,0.0,0.4230244692159007,0.026853576841919233,0.6068376068376068
